,product_name,pairing
0,30506," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
1,7 Colores Limited Edition Syrah 2020," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
2,Aila Heaven Cabernet Sauvignon Gran Reserva 2021," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
3,Amaral Brut 750cc," Provolone,  Edamental,  Almeja,  Ostra,  Ricotta,  Grada Padano,  Queso Fresco,  Camarones,  Langosta,  Gruyere,  Salami,  Cangrejo,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Manchego,  Batata,  Comte,  Zapallo,  Queso Crema,  Havarti,  Vieira,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Delice de Bougorgne,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Asiago,  Tocineta,  Scamorza,  Halloumi,  Parmesano, Feta,  Jamon,  Charcuteria,  Mozzarela"
4,Arboleda Cabernet Sauvignon 2021," Frijoles Negos,  Colby,  Muenster,  Comino, Cheddar,  Gouda,  Ossau-Iraty,  Lenteja,  Carne de Res,  Judía Pinta,  Cordero,  Venado,  Cilantro,  Frijoles Blancos,  Curcuma"
5,Arboleda Carmenere 2021," Provolone,  Tomate,  Cerdo,  Edamental,  Cardamomo,  Grada Padano,  Cebollin,  Ossau-Iraty,  Venado,  Berenjena,  Chuleta,  Clavo,  Manchego,  Hongos,  Comte,  Gouda,  Gengibre,  Frijoles Blancos,  Pecorino,  Pimienta,  Fenogreco, Gruyere,  Frijoles Negos,  Muenster,  Perejil,  Eneldo,  Tomillo,  Asiago,  Ajo,  Judía Pinta,  Scamorza,  Chalota,  Cebolla,  Parmesano,  Oregano,  Tofu,  Seitan,  Colby,  Pimiento,  Canela,  Lenteja,  Carne de Res,  Cordero,  Cheddar,  Vainilla,  Anis,  Pollo,  Mozzarela,  Nuez Moscada"
6,Arboleda Chardonnay 2021," Provolone,  Cerdo,  Edamental,  Cebollin,  Camarones,  Langosta,  Gruyere,  Cangrejo,  Burrata,  Epoisses,  Chuleta,  Hongos,  Comte,  Delice de Bougorgne,  Camembert,  Ajo,  Scamorza,  Chalota,  Cebolla,  Tofu,  Seitan, Brie,  Pollo,  Mozzarela"
7,Arboleda Pinot Noir 2020," Provolone,  Cerdo,  Edamental,  Hongos,  Comte,  Ajo,  Chuleta,  Scamorza,  Seitan,  Cebolla,  Chalota,  Pollo,  Mozzarela,  Tofu, Gruyere"
8,Arboleda Sauvignon Blanc 2018," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
9,Arboleda Sauvignon Blanc 2020," Provolone,  Edamental,  Palta,  Ricotta,  Grada Padano,  Queso Fresco,  Cebollin,  Camarones,  Langosta,  Pimiento Verde,  Gruyere,  Cilantro,  Cangrejo,  Mejorana,  Crema Agria,  Burrata,  Epoisses,  Nabo,  Bass,  Manchego,  Bacalao,  Menta,  Comte,  Zapallo,  Queso Crema,  Havarti,  Escarola,  Trucha,  Lechuga,  Calabaza,  Chevre,  Pecorino,  Zanahoria,  Perejil,  Delice de Bougorgne,  Eneldo,  Mizithra,  Cotija,  Cottage,  Brie,  Camembert,  Tomillo,  Asiago,  Ajo,  Halibut,  Basil,  Scamorza,  Chalota,  Cebolla,  Halloumi,  Parmesano,  Oregano, Feta,  Guisantes,  Salmon,  Col,  Shiso,  Aguacate,  Mozzarela"
